campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,tag
v8_review3_R_cost5bp,R,42,nivel2,50000,0.42169665801992695,0.023307162941269943,0.3214152774394971,0.08433933160398539,1.0,0.19126984126984126,0.45396825396825397,1.0,0.9881492839047005,-1.0,0.10311354803269047,-0.005033204722565679,50000,2026-08-04T02:02:27Z,78.12501519999932,R_cost5bp
v8_review3_R_cost5bp,R,123,nivel2,50000,0.17013408895202836,0.007978724319427295,0.5122899456700494,0.03402681779040564,1.0,0.19047619047619047,0.4650793650793651,6.0,0.9895631745513085,-1.0,0.038407480235781624,-0.009626669479159465,50000,2026-08-04T02:03:42Z,74.27937910001492,R_cost5bp
v8_review3_R_cost5bp,R,456,nivel2,50000,0.867699735655442,0.042492614759513894,0.36916922921658435,0.17353994713108842,1.0,0.19206349206349208,0.45476190476190476,28.0,0.9961972231625594,21.0,0.01041741640068608,0.0004588225870557444,50000,2026-08-04T02:04:52Z,70.01624289999017,R_cost5bp
v8_review3_R_cost5bp,R,789,nivel2,50000,0.2998709235773462,0.014802055910734148,0.35439352323656503,0.059974184715469205,0.9666666666666667,0.17063492063492064,0.45555555555555555,15.0,1.1646512704106817,18.0,0.05728147353045197,-0.02633313032785938,50000,2026-08-04T02:06:17Z,84.18984880001517,R_cost5bp
v8_review3_R_cost5bp,R,1024,nivel2,50000,0.24425699890884034,0.012391112989620715,0.36706272549204544,0.04885139978176815,1.0,0.17142857142857143,0.4365079365079365,11.0,0.9190542865470643,14.0,0.12230642348252962,0.019319314995504735,50000,2026-08-04T02:07:32Z,74.92490380001254,R_cost5bp
v8_review3_R_cost5bp,R,7,nivel2,50000,0.05549352634578997,0.0029176439255137925,0.5699558205618458,0.011098705269158052,1.0,0.17063492063492064,0.44047619047619047,4.0,0.9077904759795361,-1.0,-0.031170274679410824,-0.03598231078473084,50000,2026-08-04T02:08:44Z,71.23505850002402,R_cost5bp
v8_review3_R_cost5bp,R,99,nivel2,50000,-0.2069049035076143,-0.01115601891842694,0.6107008437280151,-0.04138098070152292,1.0,0.19126984126984126,0.473015873015873,5.0,0.9453986496997199,-1.0,-0.017426549290509828,0.00969383969505392,50000,2026-08-04T02:09:54Z,70.58277420001104,R_cost5bp
v8_review3_R_cost5bp,R,314,nivel2,50000,1.0260770533905275,0.05598175860182245,0.22654930573396403,0.2052154106781054,1.0,0.17936507936507937,0.4444444444444444,1.0,1.1128135715215837,12.0,0.054918572583028874,-0.008135504119686337,50000,2026-08-04T02:11:08Z,73.06289629999083,R_cost5bp
v8_review3_R_cost5bp,R,1729,nivel2,50000,0.012840304119506263,0.0006829870981864663,0.527926334766286,0.002568060823901297,1.0,0.18888888888888888,0.4857142857142857,5.0,0.9267260306163706,20.0,0.041576996053166886,0.013310003326634711,50000,2026-08-04T02:12:19Z,71.26917889999459,R_cost5bp
v8_review3_R_cost5bp,R,65535,nivel2,50000,0.838450246447288,0.045739434517349645,0.29048706204128255,0.1676900492894576,1.0,0.18888888888888888,0.47063492063492063,9.0,1.0296403189256256,-1.0,-0.024213088364643788,-0.0019237626019310043,50000,2026-08-04T02:13:33Z,73.2981292999466,R_cost5bp
