campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,rotation_p
rotation_p0.25_v7,S_p0.25,789,nivel2,50000,0.8210490489272432,0.044378238047331826,0.37503120998942724,0.1642098097854487,1.0,0.17142857142857143,0.44285714285714284,2.0,1.0653968253921318,5.0,0.15372744182414272,0.08577214707465516,50000,2026-06-10T04:27:10Z,70.8539763000008,0.25
rotation_p0.50_v7,S_p0.50,789,nivel2,50000,-0.8331529736760742,-0.041671066951767075,0.8717109120801443,-0.1666305947352149,0.9666666666666667,0.15555555555555556,0.4523809523809524,3.0,1.0249895237985396,21.0,0.14159909178681102,0.10167521517828272,50000,2026-06-10T04:28:22Z,72.16121009999915,0.5
rotation_p0.75_v7,S_p0.75,789,nivel2,50000,0.14235362224629455,0.007210813018278872,0.44340313884821214,0.02847072444925893,0.9666666666666667,0.1484126984126984,0.45396825396825397,3.0,1.0218230952280767,-1.0,0.24280552431300356,0.11248060876969122,50000,2026-06-10T04:29:35Z,72.77559139999903,0.75
rotation_p1.00_v7,S_p1.00,789,nivel2,50000,0.013855001324470928,0.0006945787571728853,0.501202750707623,0.0027710002648941717,1.0,0.176984126984127,0.4634920634920635,18.0,0.9880870636166831,-1.0,0.11879673444116266,0.07674716661966086,50000,2026-06-10T15:00:07Z,74.4272603999998,1.0
rotation_p0.00_v7,S_p0.00,1024,nivel2,50000,-0.7301042201758562,-0.03474697756608675,0.9303663158128443,-0.14602084403517124,1.0,0.1492063492063492,0.4,3.0,1.0187651588715934,1.0,0.16164102405200037,0.07554830073734276,50000,2026-06-10T15:01:15Z,67.13526160000038,0.0
rotation_p0.10_v7,S_p0.10,1024,nivel2,50000,0.46642893547302566,0.024444845995946058,0.3532363307522499,0.09328578709460512,0.9333333333333333,0.16666666666666666,0.44761904761904764,9.0,0.8294904762315416,2.0,0.21081795117382346,0.07282167268693951,50000,2026-06-10T15:02:19Z,63.927917500004696,0.1
rotation_p0.25_v7,S_p0.25,1024,nivel2,50000,0.5299671897602133,0.025397686666521965,0.46474229473558754,0.10599343795204272,1.0,0.1738095238095238,0.46111111111111114,3.0,0.8669497618924767,8.0,0.20605042478921745,0.09749137655572529,50000,2026-06-10T15:03:18Z,58.65672610000183,0.25
rotation_p0.50_v7,S_p0.50,1024,nivel2,50000,0.5815474283593733,0.03276343880072773,0.2578821197726886,0.11630948567187469,1.0,0.1992063492063492,0.45555555555555555,10.0,0.8724520633554748,18.0,0.23296060875855068,0.0956489210472295,50000,2026-06-10T15:04:18Z,59.622959100001026,0.5
rotation_p0.75_v7,S_p0.75,1024,nivel2,50000,0.557632305513051,0.029090776977343198,0.3332394099189582,0.11152646110261018,0.9666666666666667,0.1738095238095238,0.4658730158730159,9.0,2.119659999989958,19.0,0.2748810491598449,0.11694806518423936,50000,2026-06-10T15:05:21Z,63.150951400006306,0.75
rotation_p1.00_v7,S_p1.00,1024,nivel2,50000,0.48851010564158204,0.02724636751372705,0.5416522419404888,0.09770202112831643,1.0,0.17222222222222222,0.45555555555555555,8.0,2.222703809422369,17.0,0.1888423014897154,0.07716640949152631,50000,2026-06-10T15:07:58Z,156.27809120000165,1.0
